Date,Open,High,Low,Close,Adj Close,Volume
"Jan 4, 2025","78,257.87","79,631.91","77,481.11","78,972.46","78,972.46","28,66,57,09,819"
"Jan 3, 2025","75,413.59","78,950.90","75,286.55","78,262.02","78,262.02","37,16,50,07,816"
"Jan 2, 2025","74,645.16","75,852.85","74,136.23","75,416.37","75,416.37","19,58,48,93,476"
"Jan 1, 2025","73,829.08","76,691.93","73,203.37","74,648.44","74,648.44","34,85,57,62,366"
"Dec 31, 2024","74,355.52","75,602.55","72,767.25","73,829.05","73,829.05","44,77,72,31,526"
"Dec 30, 2024","75,703.16","75,703.81","73,797.65","74,357.94","74,357.94","23,56,09,73,325"
"Dec 29, 2024","74,902.73","75,983.02","74,780.66","75,695.10","75,695.10","19,17,54,88,675"
"Dec 28, 2024","76,392.48","77,717.57","74,301.76","74,906.45","74,906.45","41,69,91,14,388"
"Dec 27, 2024","79,162.31","79,636.57","75,913.66","76,464.75","76,464.75","37,55,96,62,173"
"Dec 26, 2024","78,720.29","79,314.11","76,406.02","79,163.50","79,163.50","26,86,66,96,007"
"Dec 25, 2024","75,549.49","79,376.73","74,526.94","78,720.44","78,720.44","37,58,67,08,133"
"Dec 24, 2024","75,655.09","76,855.10","73,738.72","75,551.00","75,551.00","52,05,47,87,580"
"Dec 23, 2024","77,363.13","77,476.09","74,959.98","75,659.49","75,659.49","34,32,58,15,610"
"Dec 22, 2024","77,775.61","79,156.11","76,733.05","77,368.23","77,368.23","41,19,31,44,775"
"Dec 21, 2024","78,003.65","78,416.64","73,683.55","77,775.40","77,775.40","84,04,33,21,832"
"Dec 20, 2024","79,630.15","81,597.85","76,421.59","78,008.65","78,008.65","77,79,31,77,044"
"Dec 19, 2024","83,512.45","83,760.64","79,606.96","79,606.96","79,606.96","74,69,25,63,351"
"Dec 18, 2024","83,556.32","85,298.97","82,809.11","83,507.18","83,507.18","53,96,33,68,703"
"Dec 17, 2024","82,598.95","84,955.88","81,645.30","83,555.55","83,555.55","71,72,76,39,036"
"Dec 16, 2024","80,305.38","83,214.36","80,189.32","82,603.00","82,603.00","40,50,67,96,808"
"Dec 15, 2024","80,383.02","81,314.48","79,719.59","80,304.93","80,304.93","32,02,19,84,458"
"Dec 14, 2024","78,921.80","80,758.09","78,338.72","80,389.21","80,389.21","45,07,94,18,522"
"Dec 13, 2024","79,252.53","80,702.38","78,373.26","78,918.92","78,918.92","56,85,55,61,910"
"Dec 12, 2024","75,630.76","79,918.93","74,929.67","79,256.63","79,256.63","66,89,36,66,541"
"Dec 11, 2024","76,429.01","77,084.19","73,968.52","75,645.91","75,645.91","82,02,17,78,104"
"Dec 10, 2024","79,411.87","79,439.67","73,992.02","76,422.33","76,422.33","86,81,01,99,075"
"Dec 9, 2024","78,400.84","79,533.69","77,519.54","79,411.05","79,411.05","34,61,29,01,696"
"Dec 8, 2024","78,402.95","78,904.14","77,701.71","78,401.95","78,401.95","34,66,26,02,777"
"Dec 7, 2024","76,075.52","80,096.72","75,650.20","78,406.09","78,406.09","74,17,98,29,014"
"Dec 6, 2024","77,744.05","81,759.91","72,095.86","75,698.84","75,698.84","1,16,94,05,00,148"
"Dec 5, 2024","75,735.72","78,094.81","74,490.92","77,765.30","77,765.30","60,78,31,98,803"
"Dec 4, 2024","75,722.64","76,170.31","73,903.13","75,746.48","75,746.48","52,91,70,39,391"
"Dec 3, 2024","76,586.57","77,351.41","74,722.53","75,731.09","75,731.09","57,41,59,29,901"
"Dec 2, 2024","75,737.04","76,889.16","75,187.55","76,589.55","76,589.55","28,80,82,93,495"
"Dec 1, 2024","76,554.25","76,578.23","75,493.12","75,727.39","75,727.39","24,83,77,50,986"
"Nov 30, 2024","75,343.27","77,716.03","75,118.06","76,548.52","76,548.52","43,17,36,67,497"
"Nov 29, 2024","75,689.45","76,279.73","74,819.82","75,342.10","75,342.10","41,16,33,79,407"
"Nov 28, 2024","73,152.98","76,814.47","72,997.53","75,695.44","75,695.44","56,11,02,09,550"
"Nov 27, 2024","74,278.99","75,687.05","72,349.52","73,158.68","73,158.68","72,89,71,79,937"
"Nov 26, 2024","77,846.01","78,711.42","73,699.66","74,290.98","74,290.98","64,56,17,05,594"
"Nov 25, 2024","78,032.10","78,725.68","76,443.96","77,830.42","77,830.42","41,06,32,74,488"
"Nov 24, 2024","79,015.80","79,022.13","77,538.25","78,031.45","78,031.45","35,44,52,40,428"
"Nov 23, 2024","78,265.16","79,555.88","77,668.17","79,008.55","79,008.55","62,62,85,87,534"
"Nov 22, 2024","74,539.27","78,612.53","74,381.89","78,271.76","78,271.76","84,24,69,66,111"
"Nov 21, 2024","72,743.62","74,966.05","72,202.76","74,543.11","74,543.11","56,67,87,89,068"
"Nov 20, 2024","71,406.93","74,133.02","71,341.65","72,745.12","72,745.12","58,70,49,99,089"
"Nov 19, 2024","71,195.93","73,237.21","70,805.00","71,411.52","71,411.52","59,57,55,19,024"
"Nov 18, 2024","71,769.30","72,462.42","70,290.41","71,197.63","71,197.63","36,72,98,12,940"
"Nov 17, 2024","72,181.63","72,750.55","71,401.38","71,769.31","71,769.31","35,13,48,97,635"
"Nov 16, 2024","68,921.86","72,807.73","68,740.67","72,182.92","72,182.92","62,01,89,31,301"
"Nov 15, 2024","71,277.99","72,288.23","68,457.66","68,895.21","68,895.21","69,18,44,28,498"
"Nov 14, 2024","69,035.93","73,507.23","67,708.84","71,285.30","71,285.30","97,23,49,00,540"
"Nov 13, 2024","68,904.71","70,191.20","66,459.82","69,056.22","69,056.22","1,04,95,01,04,506"
"Nov 12, 2024","62,306.04","69,631.92","62,177.93","68,901.54","68,901.54","91,63,42,85,888"
"Nov 11, 2024","59,435.33","63,085.16","59,272.67","62,308.18","62,308.18","63,93,13,56,205"
"Nov 10, 2024","59,263.22","59,557.04","58,659.82","59,437.90","59,437.90","22,45,75,15,165"
"Nov 9, 2024","58,463.02","59,842.91","58,331.54","59,254.93","59,254.93","42,71,31,78,256"
"Nov 8, 2024","58,713.52","59,240.20","57,609.93","58,464.58","58,464.58","48,88,50,09,241"
"Nov 7, 2024","53,177.93","59,328.64","53,172.15","58,715.06","58,715.06","92,05,79,03,417"
"Nov 6, 2024","52,346.63","54,199.44","52,090.19","53,178.74","53,178.74","35,30,46,56,469"
"Nov 5, 2024","53,071.88","53,489.52","51,559.32","52,346.89","52,346.89","31,79,24,97,741"
"Nov 4, 2024","53,632.91","53,683.43","52,229.05","53,071.10","53,071.10","26,91,98,32,847"
"Nov 3, 2024","53,757.86","54,047.64","53,429.62","53,627.41","53,627.41","14,07,42,35,113"
"Nov 2, 2024","54,442.04","55,164.99","53,347.60","53,755.11","53,755.11","38,67,46,05,184"
"Nov 1, 2024","55,821.68","55,947.51","53,954.14","54,440.71","54,440.71","31,50,04,85,977"
"Oct 31, 2024","55,887.58","56,225.88","55,060.66","55,825.15","55,825.15","31,36,74,16,881"
"Oct 30, 2024","53,882.47","56,575.65","53,744.05","55,891.52","55,891.52","44,99,41,13,828"
"Oct 29, 2024","52,419.39","54,137.52","52,175.35","53,880.70","53,880.70","29,90,46,01,520"
"Oct 28, 2024","51,711.63","52,634.45","51,575.64","52,424.50","52,424.50","12,90,46,86,076"
"Oct 27, 2024","51,403.14","51,938.80","51,200.19","51,704.86","51,704.86","15,11,30,99,192"
"Oct 26, 2024","52,547.27","52,881.29","50,549.14","51,413.69","51,413.69","31,99,35,12,312"
"Oct 25, 2024","51,608.76","53,035.13","51,455.74","52,543.99","52,543.99","24,21,67,54,756"
"Oct 24, 2024","51,893.48","51,924.58","50,491.85","51,437.25","51,437.25","24,98,14,19,236"
"Oct 23, 2024","51,884.25","52,223.62","51,271.58","51,892.73","51,892.73","24,50,40,70,351"
"Oct 22, 2024","52,864.23","53,234.85","51,404.52","51,889.75","51,889.75","28,88,31,18,231"
"Oct 21, 2024","52,382.34","53,142.94","52,198.27","52,864.01","52,864.01","14,53,78,92,053"
